City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,kapuskasing,49.4169,-82.4331,276.2,93,100,5.66,CA,1714466162
166,tartagal,-22.5164,-63.8013,292.01,97,3,1.06,AR,1714466396
167,schuyler,42.4167,-76.883,291.61,95,97,0.35,US,1714466396
168,svetlyy,54.675,20.1347,292.18,66,95,3.77,RU,1714466396
169,whitehorse,60.7161,-135.0538,277.58,93,100,1.03,CA,1714466397
170,vittel,48.2009,5.9484,286.99,77,0,4.63,FR,1714466397
171,nsanje,-16.92,35.262,302.3,45,3,1.28,MW,1714466397
172,taksimo,56.3444,114.8794,286.23,46,100,0.55,RU,1714466397
173,stanley,54.868,-1.6985,285.65,67,20,5.14,GB,1714466397
174,ampanihy,-24.7,44.75,306.13,31,0,2.78,MG,1714466397
175,walsrode,52.8667,9.6,289.83,62,80,2.33,DE,1714466398
176,mitu,1.1983,-70.1733,295.0,99,100,0.34,CO,1714466398
177,lib,8.3122,167.3766,301.1,83,49,9.05,MH,1714466398
178,port de pollenca,39.9075,3.0814,290.53,86,100,2.63,ES,1714466398
179,palmeiras de goias,-16.805,-49.9258,292.1,78,21,1.59,BR,1714466398
180,suwannaphum,15.6035,103.8021,316.24,13,1,4.74,TH,1714466398
181,khovd,48.0056,91.6419,291.9,13,42,7.81,MN,1714466398
182,tazovsky,67.4667,78.7,266.04,82,100,2.25,RU,1714466399
183,coracao de jesus,-16.6853,-44.365,291.52,86,9,2.34,BR,1714466399
184,kununurra,-15.7667,128.7333,305.14,35,71,3.6,AU,1714466181
185,lihue,21.9789,-159.3672,296.92,80,100,5.66,US,1714466399
186,rabaul,-4.1967,152.1721,300.38,82,100,2.92,PG,1714466399
187,halifax,44.6453,-63.5724,277.15,73,57,6.26,CA,1714466180
188,hainichen,50.9667,13.1167,296.34,57,6,6.2,DE,1714466399
189,boksitogorsk,59.474,33.8485,286.26,85,100,4.79,RU,1714466400
190,palikir - national government center,6.9248,158.1611,301.56,84,75,2.06,FM,1714466400
191,muncar,-8.4333,114.3333,301.01,83,77,3.17,ID,1714466400
192,smithers,54.7804,-127.1743,276.33,100,100,1.54,CA,1714466109
193,la rioja,42.25,-2.5,279.03,37,2,0.56,ES,1714466149
194,woodward,36.4337,-99.3904,290.72,83,0,8.75,US,1714466401
195,kralendijk,12.15,-68.2667,300.14,78,68,3.6,BQ,1714466370
196,san antonio de pale,-1.4014,5.6325,301.67,79,100,3.54,GQ,1714466401
197,rio grande,-32.035,-52.0986,293.12,99,91,5.45,BR,1714466401
198,laascaanood,8.4774,47.3597,303.81,47,44,1.48,SO,1714466401
199,borinskoye,52.4569,39.3713,288.35,34,0,1.52,RU,1714466401
200,vorgashor,67.5833,63.95,268.6,95,95,5.67,RU,1714466401
201,douentza,14.9951,-2.9517,306.03,23,46,7.18,ML,1714466402
202,meadow lakes,61.6247,-149.6011,280.98,67,100,0.0,US,1714466402
203,atar,20.5169,-13.0499,296.04,22,62,8.62,MR,1714466402
204,brisas de zicatela,15.8369,-97.0419,298.74,75,100,1.63,MX,1714466402
205,belyy yar,53.6039,91.3903,279.09,45,0,5.0,RU,1714466402
206,san jose de guanipa,8.8872,-64.1651,297.89,81,59,5.18,VE,1714466403
207,majene,-3.5403,118.9707,300.06,87,100,2.36,ID,1714466235
208,snowflake,34.5134,-110.0785,282.36,37,0,3.71,US,1714466403
209,saynshand,44.8824,110.1163,292.48,8,0,6.99,MN,1714466403
210,camana,-16.6228,-72.7111,293.21,85,61,1.73,PE,1714466403
211,howrah,22.5892,88.3103,316.15,23,18,2.57,IN,1714466404
212,hermanus,-34.4187,19.2345,294.15,68,0,4.69,ZA,1714466404
213,khanty-mansiysk,61.0042,69.0019,276.21,30,0,5.0,RU,1714466404
214,aykhal,66.0,111.5,273.09,98,100,9.65,RU,1714466404
215,whitby,54.4877,-0.615,286.69,75,77,7.17,GB,1714466301
216,nar'yan-mar,67.6713,53.087,271.71,91,99,5.35,RU,1714466404
217,val-d'or,48.1002,-77.7828,277.2,100,100,4.63,CA,1714466405
218,thompson,55.7435,-97.8558,276.24,48,75,2.06,CA,1714466333
219,nuuk,64.1835,-51.7216,269.49,93,100,1.54,GL,1714466237
220,paros,37.0833,25.15,292.76,65,40,10.29,GR,1714466405
221,ribeira grande,38.5167,-28.7,289.14,88,75,2.57,PT,1714466405
222,fang,19.9169,99.2145,314.25,14,2,3.83,TH,1714466406
223,hadibu,12.65,54.0333,303.91,71,100,5.66,YE,1714466406
224,porto cristo,39.5395,3.333,290.0,93,100,1.71,ES,1714466406
225,kalmunai,7.4167,81.8167,304.77,66,100,4.05,LK,1714466406
226,kalispell,48.1958,-114.3129,276.02,72,75,3.09,US,1714466173
227,dabra,25.9,78.3333,312.82,8,0,6.31,IN,1714466406
228,st. john's,47.5649,-52.7093,280.53,98,100,6.17,CA,1714466407
229,luderitz,-26.6481,15.1594,296.82,47,3,1.93,NA,1714466407
230,vadso,70.0744,29.7487,277.24,65,40,3.6,NO,1714466407
231,mimizan,44.2006,-1.2289,292.4,58,6,2.33,FR,1714466407
232,muisne,0.6,-80.0333,298.7,85,99,1.53,EC,1714466407
233,chegdomyn,51.1167,133.0167,284.66,38,67,1.64,RU,1714466298
234,callao,-12.0667,-77.15,295.77,83,20,3.6,PE,1714466394
235,qinggang,46.6833,126.0833,289.42,20,74,3.7,CN,1714466408
236,qaqortoq,60.7167,-46.0333,274.01,82,100,0.12,GL,1714466408
237,bayanhongor,46.7167,100.1167,281.12,17,59,5.45,MN,1714466408
238,garner,35.7113,-78.6142,291.61,89,35,4.22,US,1714466408
239,at taj,24.2049,23.2857,307.64,7,0,1.31,LY,1714466409
240,amqui,48.4638,-67.4313,270.83,86,100,5.18,CA,1714466409
241,ugoofaaru,5.6667,73.0,301.57,81,100,4.27,MV,1714466409
242,ziro,27.6333,93.8333,286.56,77,98,0.47,IN,1714466409
243,poronaysk,49.2167,143.1167,277.04,70,100,7.39,RU,1714466409
244,praia da vitoria,38.7333,-27.0667,287.29,82,40,0.8,PT,1714466409
245,roma,43.2128,-75.4557,288.0,73,100,3.6,US,1714466163
246,as sulayyil,20.4607,45.5779,302.29,19,0,6.67,SA,1714466410
247,tchintabaraden,15.8969,5.7985,311.99,5,4,8.01,NE,1714466410
248,egyek,47.6333,20.9,293.79,49,0,1.61,HU,1714466410
249,freetown,8.484,-13.2299,302.04,71,100,1.72,SL,1714466410
250,alvaraes,-3.2208,-64.8042,298.14,91,100,0.94,BR,1714466410
251,dudinka,69.4058,86.1778,260.19,86,100,8.05,RU,1714466390
252,tateyama,34.9833,139.8667,292.9,91,98,2.05,JP,1714466411
253,dunedin,-45.8742,170.5036,284.15,97,100,2.24,NZ,1714466411
254,tweed heads,-28.1817,153.547,294.92,83,100,2.57,AU,1714466411
255,coahuayana de hidalgo,18.7,-103.6583,292.96,89,21,1.39,MX,1714466411
256,arno,60.1167,18.6333,285.17,53,6,2.52,SE,1714466411
257,adam,22.3756,57.5233,307.88,25,5,1.37,OM,1714466411
258,kodiak,57.79,-152.4072,277.88,81,100,2.06,US,1714466412
259,tanjung pandan,-2.75,107.65,302.49,79,100,1.39,ID,1714466412
260,al jawf,29.5,38.75,302.29,22,3,2.76,SA,1714466412
261,karratha,-20.7377,116.8463,303.61,30,0,4.54,AU,1714466299
262,tubarjal,30.4999,38.216,301.68,28,59,2.33,SA,1714466412
263,yalihuyuk,37.3008,32.0855,293.31,54,89,1.33,TR,1714466412
264,papao,-17.75,-149.55,297.97,68,60,9.69,PF,1714466413
265,east ballina,-28.8667,153.5833,291.93,73,50,2.86,AU,1714466413
266,derbent,42.0678,48.2899,292.73,69,33,2.2,RU,1714466413
267,saint-francois,46.4154,3.9054,284.84,94,0,2.06,FR,1714466343
268,talitsa,56.8804,60.0213,282.45,37,52,3.51,RU,1714466413
269,rogozno,52.7523,16.9905,298.27,55,24,5.37,PL,1714466414
270,taveta,-3.3963,37.6736,301.73,54,34,4.41,KE,1714466414
271,san patricio,28.017,-97.5169,298.06,88,94,3.98,US,1714466414
272,crane,31.3974,-102.3501,295.51,56,0,8.42,US,1714466414
273,sitka,57.0531,-135.33,280.09,76,100,0.0,US,1714466414
274,kimbe,-5.5502,150.1429,299.43,89,100,1.14,PG,1714466415
275,cotonou,6.3654,2.4183,304.14,79,20,3.6,BJ,1714466415
276,udachny,66.4167,112.4,271.18,94,100,11.45,RU,1714466415
277,la passe,45.5549,-0.8967,290.6,73,42,3.53,FR,1714466415
278,ketchikan,55.3422,-131.6461,281.14,87,100,0.0,US,1714466136
279,lospalos,-8.5186,127.0025,296.95,88,100,3.77,TL,1714466416
280,quepos,9.4236,-84.1652,299.52,83,68,1.27,CR,1714466416
281,kayangel,8.0823,134.7173,301.98,75,62,5.3,PW,1714466416
